"host_state";"host";"host_icons";"num_services_ok";"num_services_warn";"num_services_unknown";"num_services_crit";"num_services_pending";"sitealias"
"UP";"sw-build";"NOT_CSV_EXPORTABLE";"8";"0";"0";"0";"0";"PSU HDY"
"UP";"sw-ccstaff1000";"NOT_CSV_EXPORTABLE";"12";"0";"0";"1";"0";"PSU HDY"
"UP";"sw-center";"NOT_CSV_EXPORTABLE";"10";"1";"0";"1";"0";"PSU HDY"
"UP";"sw-corin";"NOT_CSV_EXPORTABLE";"1";"0";"0";"2";"0";"PSU HDY"
"UP";"sw-Dorm2";"NOT_CSV_EXPORTABLE";"5";"0";"0";"1";"0";"PSU HDY"
"DOWN";"sw-Dorm6";"NOT_CSV_EXPORTABLE";"6";"0";"0";"2";"0";"PSU HDY"
"UP";"sw-Dorm15";"NOT_CSV_EXPORTABLE";"5";"0";"0";"0";"0";"PSU HDY"
"UP";"sw-DP04";"NOT_CSV_EXPORTABLE";"1";"1";"0";"1";"0";"PSU HDY"
"UP";"sw-edu";"NOT_CSV_EXPORTABLE";"12";"0";"0";"1";"0";"PSU HDY"
"UP";"sw-fin1";"NOT_CSV_EXPORTABLE";"12";"5";"0";"4";"0";"PSU HDY"
"UP";"sw-fin2";"NOT_CSV_EXPORTABLE";"13";"2";"0";"0";"0";"PSU HDY"
"UP";"sw-fitness";"NOT_CSV_EXPORTABLE";"1";"1";"0";"1";"0";"PSU HDY"
"UP";"sw-fl8-lrc";"NOT_CSV_EXPORTABLE";"1";"1";"0";"1";"0";"PSU HDY"
"UP";"sw-fl10s-lrcs";"NOT_CSV_EXPORTABLE";"1";"0";"0";"2";"0";"PSU HDY"
"UP";"sw-fl802-lrc";"NOT_CSV_EXPORTABLE";"1";"0";"0";"2";"0";"PSU HDY"
"UP";"sw-fl1102-lrcs";"NOT_CSV_EXPORTABLE";"1";"0";"0";"2";"0";"PSU HDY"
"UP";"sw-grad-lrcs";"NOT_CSV_EXPORTABLE";"1";"1";"0";"1";"0";"PSU HDY"
"UP";"sw-m1";"NOT_CSV_EXPORTABLE";"1";"0";"0";"2";"0";"PSU HDY"
"UP";"sw-m215";"NOT_CSV_EXPORTABLE";"7";"0";"0";"0";"0";"PSU HDY"
"UP";"sw-nmt";"NOT_CSV_EXPORTABLE";"8";"0";"0";"0";"0";"PSU HDY"
"UP";"sw-oldgym";"NOT_CSV_EXPORTABLE";"1";"1";"0";"1";"0";"PSU HDY"
"UP";"sw-other";"NOT_CSV_EXPORTABLE";"8";"0";"0";"2";"0";"PSU HDY"
"UP";"sw-personnel";"NOT_CSV_EXPORTABLE";"5";"0";"0";"8";"0";"PSU HDY"
"UP";"sw-plan";"NOT_CSV_EXPORTABLE";"8";"0";"0";"2";"0";"PSU HDY"
"UP";"sw-psuhistory";"NOT_CSV_EXPORTABLE";"12";"1";"0";"4";"0";"PSU HDY"
"UP";"sw-rdo2";"NOT_CSV_EXPORTABLE";"1";"1";"0";"1";"0";"PSU HDY"
"UP";"sw-rdo3";"NOT_CSV_EXPORTABLE";"1";"1";"0";"1";"0";"PSU HDY"
"UP";"sw-rdo5";"NOT_CSV_EXPORTABLE";"1";"1";"0";"1";"0";"PSU HDY"
